date,cum_pnl
2012-07-01,-0.067054
2012-07-02,-0.067054
2012-07-03,-0.067054
2012-07-04,-0.067054
2012-07-05,-0.067054
2012-07-06,-0.075157
2012-07-09,-0.073559
2012-07-10,-0.080560
2012-07-11,-0.080036
2012-07-12,-0.078081
2012-07-13,-0.072171
2012-07-16,-0.072171
2012-07-17,-0.072171
2012-07-18,-0.072171
2012-07-19,-0.072171
2012-07-20,-0.072171
2012-07-23,-0.076455
2012-07-24,-0.075408
2012-07-25,-0.065866
2012-07-26,-0.061833
2012-07-27,-0.060802
2012-07-29,-0.059120
2012-07-30,-0.059600
2012-07-31,-0.062418
2012-08-01,-0.066246
2012-08-02,-0.071164
2012-08-03,-0.065693
2012-08-05,-0.065244
2012-08-06,-0.063245
2012-08-07,-0.062866
2012-08-08,-0.062728
2012-08-09,-0.060871
2012-08-10,-0.059943
2012-08-13,-0.063451
2012-08-14,-0.067283
2012-08-15,-0.065313
2012-08-16,-0.061902
2012-08-17,-0.061833
2012-08-20,-0.061833
2012-08-21,-0.061833
2012-08-22,-0.061833
2012-08-23,-0.061833
2012-08-24,-0.061833
2012-08-27,-0.063455
2012-08-28,-0.062610
2012-08-29,-0.064876
2012-08-30,-0.066910
2012-08-31,-0.042773
2012-09-03,-0.042541
2012-09-04,-0.041184
2012-09-05,-0.042442
2012-09-06,-0.038608
2012-09-07,-0.027293
2012-09-10,-0.030527
2012-09-11,-0.027717
2012-09-13,-0.016749
2012-09-14,-0.016749
2012-09-17,-0.020564
2012-09-18,-0.016588
2012-09-19,-0.017072
2012-09-20,-0.017072
2012-09-21,-0.015652
2012-09-24,-0.019011
2012-09-25,-0.015781
2012-09-26,-0.023224
2012-09-27,-0.014428
2012-09-28,-0.016007
2012-09-30,-0.017912
2012-10-01,-0.015362
2012-10-02,-0.015330
2012-10-03,-0.014106
2012-10-04,-0.010251
2012-10-05,-0.012820
2012-10-08,-0.015008
2012-10-09,-0.019075
2012-10-10,-0.019464
2012-10-11,-0.017169
2012-10-12,-0.021764
2012-10-14,-0.024524
2012-10-15,-0.027423
2012-10-16,-0.023159
2012-10-17,-0.023192
2012-10-18,-0.026087
2012-10-19,-0.032098
2012-10-21,-0.034756
2012-10-22,-0.030363
2012-10-23,-0.036631
2012-10-24,-0.039631
2012-10-25,-0.035710
2012-10-26,-0.035808
2012-10-29,-0.036401
2012-10-30,-0.036565
2012-10-31,-0.033279
2012-11-01,-0.034888
2012-11-02,-0.047088
2012-11-05,-0.045360
2012-11-06,-0.034691
2012-11-07,-0.034165
2012-11-08,-0.028859
2012-11-09,-0.030396
2012-11-12,-0.030200
2012-11-13,-0.031378
2012-11-14,-0.031018
2012-11-15,-0.035841
2012-11-16,-0.035414
2012-11-19,-0.029284
2012-11-20,-0.032066
2012-11-21,-0.029938
2012-11-23,-0.023614
2012-11-26,-0.023257
2012-11-27,-0.024524
2012-11-28,-0.026413
2012-11-29,-0.030821
2012-11-30,-0.030821
2012-12-02,-0.030723
2012-12-03,-0.030526
2012-12-04,-0.030526
2012-12-05,-0.030526
2012-12-06,-0.030526
2012-12-07,-0.030526
2012-12-09,-0.030526
2012-12-10,-0.030526
2012-12-11,-0.030526
2012-12-12,-0.030526
2012-12-13,-0.030526
2012-12-14,-0.030526
2012-12-17,-0.030526
2012-12-18,-0.030526
2012-12-19,-0.030526
2012-12-20,-0.030526
2012-12-21,-0.032841
2012-12-23,-0.034147
2012-12-24,-0.034248
2012-12-26,-0.034482
2012-12-27,-0.035452
2012-12-28,-0.032539
2012-12-30,-0.033109
2012-12-31,-0.040354
2013-01-01,-0.037989
2013-01-02,-0.043575
2013-01-03,-0.035318
2013-01-04,-0.034080
2013-01-06,-0.033209
2013-01-07,-0.029854
2013-01-08,-0.034482
2013-01-09,-0.031969
2013-01-10,-0.039122
2013-01-11,-0.034649
2013-01-14,-0.036421
2013-01-15,-0.042181
2013-01-16,-0.041318
2013-01-17,-0.044304
2013-01-18,-0.044006
2013-01-22,-0.045265
2013-01-23,-0.043078
2013-01-24,-0.043078
2013-01-25,-0.039434
2013-01-28,-0.037993
2013-01-29,-0.040906
2013-01-30,-0.045677
2013-01-31,-0.041074
2013-02-01,-0.042911
2013-02-03,-0.042477
2013-02-04,-0.045144
2013-02-05,-0.045011
2013-02-06,-0.045976
2013-02-07,-0.044378
2013-02-08,-0.042977
2013-02-10,-0.042577
2013-02-11,-0.036852
2013-02-12,-0.037188
2013-02-13,-0.034129
2013-02-14,-0.031635
2013-02-15,-0.022685
2013-02-19,-0.021288
2013-02-20,0.007003
2013-02-21,0.002942
2013-02-22,0.002279
2013-02-24,0.001581
2013-02-25,-0.003778
2013-02-26,-0.009212
2013-02-27,-0.004715
2013-02-28,0.001685
2013-03-01,0.002523
2013-03-03,0.000848
2013-03-04,0.003431
2013-03-05,0.002837
2013-03-06,0.000081
2013-03-07,0.001790
2013-03-08,0.001929
2013-03-11,0.001162
2013-03-12,-0.003396
2013-03-13,-0.001902
2013-03-14,-0.001868
2013-03-15,-0.004125
2013-03-17,-0.008176
2013-03-18,-0.007934
2013-03-19,-0.009936
2013-03-20,-0.008314
2013-03-21,-0.010178
2013-03-22,-0.008383
2013-03-25,-0.004715
2013-03-26,-0.004437
2013-03-27,-0.007588
2013-03-28,-0.004680
2013-03-31,-0.004541
2013-04-01,-0.006447
2013-04-02,0.002383
2013-04-03,0.009215
2013-04-04,0.010975
2013-04-05,0.000674
2013-04-08,0.003816
2013-04-09,-0.000615
2013-04-10,0.008864
2013-04-11,0.007600
2013-04-12,0.064060
2013-04-14,0.064283
2013-04-15,0.166676
2013-04-16,0.157745
2013-04-17,0.158806
2013-04-18,0.150309
2013-04-19,0.146833
2013-04-22,0.137078
2013-04-23,0.140840
2013-04-24,0.134843
2013-04-25,0.119298
2013-04-26,0.125558
2013-04-28,0.121027
2013-04-29,0.116711
2013-04-30,0.116750
2013-05-01,0.123349
2013-05-02,0.120633
2013-05-03,0.118867
2013-05-05,0.118906
2013-05-06,0.119023
2013-05-07,0.127456
2013-05-08,0.118161
2013-05-09,0.124769
2013-05-10,0.127931
2013-05-12,0.130467
2013-05-13,0.134604
2013-05-14,0.136199
2013-05-15,0.150430
2013-05-16,0.153066
2013-05-17,0.163308
2013-05-19,0.170015
2013-05-20,0.152173
2013-05-21,0.155545
2013-05-22,0.161136
2013-05-23,0.151038
2013-05-24,0.150107
2013-05-28,0.155016
2013-05-29,0.154976
2013-05-30,0.141041
2013-05-31,0.151930
2013-06-02,0.149500
2013-06-03,0.141281
2013-06-04,0.147277
2013-06-05,0.146027
2013-06-06,0.142084
2013-06-07,0.153188
2013-06-09,0.153025
2013-06-10,0.152335
2013-06-11,0.155667
2013-06-12,0.151727
2013-06-13,0.152741
2013-06-14,0.151078
2013-06-16,0.151200
2013-06-17,0.153553
2013-06-18,0.160073
2013-06-19,0.169149
2013-06-20,0.223573
2013-06-21,0.218360
2013-06-23,0.216411
2013-06-24,0.222703
2013-06-25,0.226584
2013-06-26,0.245728
2013-06-27,0.258232
2013-06-28,0.244927
2013-06-30,0.243860
2013-07-01,0.235537
2013-07-02,0.240177
2013-07-03,0.237744
2013-07-05,0.249566
2013-07-07,0.250953
2013-07-08,0.243993
2013-07-09,0.238053
2013-07-10,0.234435
2013-07-11,0.221963
2013-07-12,0.225230
2013-07-14,0.218533
2013-07-15,0.222441
2013-07-16,0.218966
2013-07-17,0.227021
2013-07-18,0.221789
2013-07-19,0.219270
2013-07-22,0.201430
2013-07-23,0.197178
2013-07-24,0.207241
2013-07-25,0.200876
2013-07-26,0.204630
2013-07-29,0.202069
2013-07-30,0.203562
