date,cum_pnl
2016-12-07,-0.326899
2016-12-08,-0.328609
2016-12-09,-0.331924
2016-12-11,-0.332556
2016-12-12,-0.329048
2016-12-13,-0.336245
2016-12-14,-0.336245
2016-12-15,-0.336245
2016-12-16,-0.335955
2016-12-18,-0.338039
2016-12-19,-0.338039
2016-12-20,-0.336660
2016-12-21,-0.337482
2016-12-22,-0.338887
2016-12-23,-0.338136
2016-12-26,-0.337967
2016-12-27,-0.335983
2016-12-28,-0.339591
2016-12-29,-0.340294
2016-12-30,-0.345796
2017-01-02,-0.343285
2017-01-03,-0.341679
2017-01-04,-0.338912
2017-01-05,-0.336249
2017-01-06,-0.331978
2017-01-08,-0.331449
2017-01-09,-0.330824
2017-01-10,-0.329358
2017-01-11,-0.328374
2017-01-12,-0.328806
2017-01-13,-0.326624
2017-01-15,-0.327535
2017-01-16,-0.327487
2017-01-17,-0.328422
2017-01-18,-0.327151
2017-01-19,-0.326984
2017-01-20,-0.326576
2017-01-22,-0.328134
2017-01-23,-0.326265
2017-01-24,-0.322538
2017-01-25,-0.318373
2017-01-26,-0.318658
2017-01-27,-0.316665
2017-01-29,-0.318421
2017-01-30,-0.320680
2017-01-31,-0.320275
2017-02-01,-0.318967
2017-02-02,-0.320085
2017-02-03,-0.317329
2017-02-05,-0.318089
2017-02-06,-0.317234
2017-02-07,-0.315717
2017-02-08,-0.314250
2017-02-09,-0.312218
2017-02-10,-0.310779
2017-02-12,-0.310284
2017-02-13,-0.307814
2017-02-14,-0.306499
2017-02-15,-0.303172
2017-02-16,-0.304178
2017-02-17,-0.301279
2017-02-19,-0.301863
2017-02-20,-0.300346
2017-02-21,-0.299763
2017-02-22,-0.299134
2017-02-23,-0.301653
2017-02-24,-0.299949
2017-02-26,-0.299367
2017-02-27,-0.299786
2017-02-28,-0.300882
2017-03-01,-0.295785
2017-03-02,-0.298342
2017-03-03,-0.297155
2017-03-05,-0.299390
2017-03-06,-0.298505
2017-03-07,-0.299739
2017-03-08,-0.297969
2017-03-09,-0.297248
2017-03-10,-0.296295
2017-03-12,-0.297086
2017-03-13,-0.295111
2017-03-14,-0.296435
2017-03-15,-0.293002
2017-03-16,-0.293604
2017-03-17,-0.293025
2017-03-19,-0.293998
2017-03-20,-0.293118
2017-03-21,-0.309037
2017-03-22,-0.304811
2017-03-23,-0.306100
2017-03-24,-0.305092
2017-03-26,-0.307438
2017-03-27,-0.303710
2017-03-28,-0.301513
2017-03-29,-0.299087
2017-03-30,-0.299273
2017-03-31,-0.299227
2017-04-02,-0.298738
2017-04-03,-0.299506
2017-04-04,-0.298295
2017-04-05,-0.301489
2017-04-06,-0.300439
2017-04-07,-0.300626
2017-04-09,-0.300556
2017-04-10,-0.300462
2017-04-11,-0.302821
2017-04-12,-0.305209
2017-04-13,-0.306546
2017-04-16,-0.306992
2017-04-17,-0.302844
2017-04-18,-0.303032
2017-04-19,-0.302611
2017-04-20,-0.298132
2017-04-21,-0.299203
2017-04-23,-0.294369
2017-04-24,-0.293211
2017-04-25,-0.288935
2017-04-26,-0.289697
2017-04-27,-0.285138
2017-04-28,-0.285781
2017-04-30,-0.285988
2017-05-01,-0.281172
2017-05-02,-0.281790
2017-05-03,-0.282202
2017-05-04,-0.281835
2017-05-05,-0.279548
2017-05-07,-0.280028
2017-05-08,-0.279069
2017-05-09,-0.277700
2017-05-10,-0.277244
2017-05-11,-0.277631
2017-05-12,-0.275854
2017-05-14,-0.275695
2017-05-15,-0.274512
2017-05-16,-0.274763
2017-05-17,-0.295297
2017-05-18,-0.291313
2017-05-19,-0.289235
2017-05-21,-0.289028
2017-05-22,-0.286034
2017-05-23,-0.284265
2017-05-24,-0.284265
2017-05-25,-0.279833
2017-05-26,-0.278762
2017-05-28,-0.278466
2017-05-29,-0.278944
2017-05-30,-0.278785
2017-05-31,-0.278284
2017-06-01,-0.276215
2017-06-02,-0.270620
2017-06-04,-0.271253
2017-06-05,-0.270846
2017-06-06,-0.272384
2017-06-07,-0.271140
2017-06-08,-0.271750
2017-06-09,-0.284082
2017-06-11,-0.284403
2017-06-12,-0.286191
2017-06-13,-0.282549
2017-06-14,-0.287063
2017-06-15,-0.287361
2017-06-16,-0.287315
2017-06-18,-0.288257
2017-06-19,-0.280472
2017-06-20,-0.284586
2017-06-21,-0.279127
2017-06-22,-0.279149
2017-06-23,-0.277852
2017-06-25,-0.278034
2017-06-26,-0.280175
2017-06-27,-0.290213
2017-06-28,-0.280905
2017-06-29,-0.292543
2017-06-30,-0.291412
2017-07-02,-0.290743
2017-07-03,-0.297751
2017-07-04,-0.298865
2017-07-05,-0.292104
2017-07-06,-0.292104
2017-07-07,-0.292104
2017-07-09,-0.292104
2017-07-10,-0.292104
2017-07-11,-0.292104
2017-07-12,-0.292104
2017-07-13,-0.292104
2017-07-14,-0.292104
2017-07-16,-0.292104
2017-07-17,-0.292104
2017-07-18,-0.292104
2017-07-19,-0.289512
2017-07-20,-0.289647
2017-07-21,-0.289354
2017-07-23,-0.289939
2017-07-24,-0.288904
2017-07-25,-0.288207
2017-07-26,-0.285265
2017-07-27,-0.292217
2017-07-28,-0.290255
2017-07-30,-0.291044
2017-07-31,-0.293098
2017-08-01,-0.288342
2017-08-02,-0.290525
2017-08-03,-0.292759
2017-08-04,-0.291698
2017-08-06,-0.290999
2017-08-07,-0.288297
2017-08-08,-0.291314
2017-08-09,-0.289647
2017-08-10,-0.316206
2017-08-11,-0.310396
2017-08-13,-0.308123
2017-08-14,-0.302678
2017-08-15,-0.304117
2017-08-16,-0.303820
2017-08-17,-0.303820
2017-08-18,-0.303820
2017-08-20,-0.303820
2017-08-21,-0.304558
2017-08-22,-0.297180
2017-08-23,-0.301540
2017-08-24,-0.301540
2017-08-25,-0.299885
2017-08-27,-0.299424
2017-08-28,-0.298434
2017-08-29,-0.304660
2017-08-30,-0.310598
2017-08-31,-0.315844
2017-09-01,-0.314620
2017-09-03,-0.312281
2017-09-04,-0.314075
2017-09-05,-0.309937
2017-09-06,-0.309937
2017-09-07,-0.309937
2017-09-08,-0.309937
2017-09-10,-0.309937
2017-09-11,-0.309937
2017-09-12,-0.309937
2017-09-13,-0.309937
2017-09-14,-0.309937
2017-09-15,-0.309937
2017-09-17,-0.307262
2017-09-18,-0.308508
2017-09-19,-0.308304
2017-09-20,-0.309687
2017-09-21,-0.312893
2017-09-22,-0.313371
2017-09-24,-0.312074
2017-09-25,-0.312074
2017-09-26,-0.312074
2017-09-27,-0.312074
2017-09-28,-0.312074
2017-09-29,-0.312074
2017-10-01,-0.312074
2017-10-02,-0.312074
2017-10-03,-0.312074
2017-10-04,-0.312074
2017-10-05,-0.312074
2017-10-06,-0.312074
2017-10-08,-0.312074
2017-10-09,-0.312074
